accuracy,kappa
0.9951569965870307,0.9902526731115425
0.9951632653061224,0.9902653442300962
0.9951593220338983,0.9902572034299992
0.9951621621621621,0.9902629585588031
0.9951717171717172,0.9902821447135842
0.9951677852348993,0.9902743528884957
0.9951705685618729,0.990280107095073
0.9951733333333334,0.9902854299291051
0.9951860465116279,0.9903110195319418
0.9951953642384106,0.9903295652097821
0.9951947194719472,0.9903280452799742
0.9952039473684211,0.990346658009429
0.9952065573770492,0.9903522942397048
0.9952124183006535,0.990364062182079
0.995214983713355,0.9903689614674652
0.9952240259740259,0.9903871391897379
0.9952200647249191,0.9903791344402558
0.9952258064516128,0.990390684352411
0.9952379421221865,0.9904149159508115
0.9952467948717949,0.9904329597962324
0.995255591054313,0.9904504373218124
0.9952452229299363,0.9904295376428487
0.9952507936507936,0.990440802873695
0.995256329113924,0.9904521323234192
0.9952618296529968,0.9904632548022985
0.9952704402515723,0.990480430306642
0.9952727272727273,0.990485079800323
0.995275,0.990489481049023
0.9952866043613707,0.9905128135151038
0.9952888198757764,0.9905175457224171
0.9952879256965944,0.990515607612006
0.9952777777777778,0.9904951805964688
0.9952892307692308,0.9905181613102121
0.9952791411042945,0.9904978982190022
0.9952905198776758,0.9905208046733933
0.9952926829268293,0.9905254347876642
0.9952765957446809,0.9904931092028818
0.9952787878787879,0.9904974637161771
0.9952779456193354,0.9904959913988544
0.9952680722891566,0.9904761443582765
0.9952612612612612,0.9904621902355103
0.9952724550898203,0.990484759258955
0.9952746268656717,0.9904891735283959
0.995282738095238,0.9905055057887691
0.9952759643916914,0.9904919284119557
0.9952810650887574,0.9905022594712998
0.9952743362831858,0.990488870547698
0.9952705882352941,0.9904813507442541
0.9952639296187683,0.9904678879182645
0.9952748538011696,0.9904898493314642
0.9952769679300292,0.9904939685730937
0.9952790697674418,0.9904982670122537
0.9952811594202898,0.9905024964665905
0.9952832369942196,0.990506745341958
0.9952795389048992,0.9904993168312347
0.9952844827586207,0.9905092683436585
0.9952836676217766,0.9905076377242844
0.9952857142857143,0.9905117539286931
0.9952905982905983,0.9905213952139963
0.9952982954545454,0.9905367643307458
0.9953031161473088,0.990546691926015
0.9953079096045198,0.9905561875152744
0.9953070422535212,0.9905545798078422
0.9953033707865169,0.9905470772225474
0.9953053221288516,0.9905506717404485
0.9953100558659218,0.9905601516333999
0.9953175487465181,0.9905752488235121
0.9953138888888889,0.9905679314981797
0.9953074792243767,0.9905551422438104
0.9953149171270719,0.9905700442461723
0.9953140495867768,0.9905681758053998
0.9953214285714286,0.9905830850795215
0.9953260273972603,0.9905922200716217
0.9953333333333333,0.9906068914682353
0.9953351498637603,0.9906103742516104
0.9953369565217391,0.9906141004323368
0.9953387533875339,0.9906177327719159
0.9953459459459459,0.9906322581760313
0.9953504043126684,0.9906412027618322
0.9953548387096774,0.9906499297012433
0.9953619302949062,0.9906641151882859
0.9953689839572193,0.9906781366215706
0.995368,0.9906761044070141
0.995375,0.9906901634770087
0.9953766578249337,0.9906938116354014
0.9953835978835979,0.9907077571712782
0.9953852242744063,0.9907108492166666
0.9953894736842105,0.9907195016723901
0.9953989501312336,0.990738533819812
0.9953952879581152,0.9907310294236195
0.9953864229765013,0.9907132793912706
0.9953854166666667,0.9907111722895469
0.9953948051948052,0.9907300751230165
0.9953911917098446,0.9907228330496751
0.995390180878553,0.9907210345234893
0.9953840206185567,0.9907088386979034
0.9953778920308484,0.9906966366230179
0.995376923076923,0.9906948422225268
0.995386189258312,0.9907135942030406
0.9953928571428572,0.9907269602741486
0.9953918575063613,0.9907248143359485
0.9954035532994924,0.990748331632604
0.9954075949367088,0.9907563265037395
